,RESOURCES_01,MENTOR_FORMAT_1_1,MENTOR_FORMAT_2,OPPORTUNITIES,TESTIM_01,TESTIM_02,TESTIM_03,INTEREST_01,INTEREST_01_3_TEXT,INTEREST_02_1,INTEREST_02_2,INTEREST_02_3,INTEREST_02_4,INTEREST_02_5,INTEREST_02_6,INTEREST_02_7,INTEREST_03,INTEREST_04_1,INTEREST_04_2,INTEREST_04_3,INTEREST_04_4,INTEREST_05,INTEREST_06,END,START,CLUSTER_SIZE,HUB_01
0,"What resources (e.g., funding, space, administrative support, training
materials) did you find yourself lacking while mentoring
undergraduates in research?","Based on your experience, do you prefer mentoring within the structure
of the Discovery Research Hub or do you prefer mentoring within the
standard structures of your graduate program? Move the slider
accordingly. - .","[OPTIONAL]: Please elaborate on the factors affecting your preference
of mentoring within or outside of the Discovery Research Hub.","Based on your experience, do you feel that acting in a directing role
to an undergraduate research team should be offered broadly to
graduate students at Berkeley? Please explain.  Directing role
includes responsibilities to make team decisions, delegate tasks, and
administer a budget.","[OPTIONAL]: How has your experience with the Discovery Research Hub
affected the way you view project development?","[OPTIONAL]: How has your experience with the Discovery Research Hub
affected the way you will approach mentoring students in the future?","[OPTIONAL]: How has your experience with the Discovery Research Hub
affected the way you think about your future career plans?","Would you be interested in participating in a future Discovery
Research Hub? - Selected Choice","Would you be interested in participating in a future Discovery
Research Hub? - Other - Text","Which aspects of the Discovery Research Hub contributed most to making
your experience rewarding? Please rank them from 1 (most rewarding) to
7 (least rewarding). - The opportunity to mentor","Which aspects of the Discovery Research Hub contributed most to making
your experience rewarding? Please rank them from 1 (most rewarding) to
7 (least rewarding). - Leadership workshops","Which aspects of the Discovery Research Hub contributed most to making
your experience rewarding? Please rank them from 1 (most rewarding) to
7 (least rewarding). - Stipend","Which aspects of the Discovery Research Hub contributed most to making
your experience rewarding? Please rank them from 1 (most rewarding) to
7 (least rewarding). - Undergraduate assistance to move your research
forward","Which aspects of the Discovery Research Hub contributed most to making
your experience rewarding? Please rank them from 1 (most rewarding) to
7 (least rewarding). - The opportunity to look into a new research
topic","Which aspects of the Discovery Research Hub contributed most to making
your experience rewarding? Please rank them from 1 (most rewarding) to
7 (least rewarding). - Funding for supplies and equipment","Which aspects of the Discovery Research Hub contributed most to making
your experience rewarding? Please rank them from 1 (most rewarding) to
7 (least rewarding). - Research Symposium",What is your preferred length of project?,"We are working to improve future iterations of the leadership
workshops. What are your preferred formats for the workshops? Please
rank the options from 1 (most preferred) to 4 (least preferred) -
Lecture/Lesson","We are working to improve future iterations of the leadership
workshops. What are your preferred formats for the workshops? Please
rank the options from 1 (most preferred) to 4 (least preferred) -
Interactive workshop","We are working to improve future iterations of the leadership
workshops. What are your preferred formats for the workshops? Please
rank the options from 1 (most preferred) to 4 (least preferred) -
Panel/Q&A","We are working to improve future iterations of the leadership
workshops. What are your preferred formats for the workshops? Please
rank the options from 1 (most preferred) to 4 (least preferred) -
Guided discussion with peers","We are working to improve future iterations of the leadership
workshops. What topics would you be most interested in seeing covered?
Please select up to 3 topics.","Please let us know any other information that might be relevant about
your interest in participating in future opportunities with the
Discovery Hubs.",Latest Discovery Hubs pre-survey date,,,
1,"{""ImportId"":""QID43_TEXT""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID36""}","{""ImportId"":""QID36_3_TEXT""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID37_2""}","{""ImportId"":""QID37_3""}","{""ImportId"":""QID37_4""}","{""ImportId"":""QID37_5""}","{""ImportId"":""QID37_6""}","{""ImportId"":""QID37_7""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID39_2""}","{""ImportId"":""QID39_3""}","{""ImportId"":""QID39_4""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41_TEXT""}",,,,
2,"I realized there’s not a lot of resources to help neurodivergent grad student mentors… we usually struggle with balancing our different obligations and also communicating requirements and expectations and we feel the need to fill in the gap of our stakeholders expectations. Also, I would have loved resources on how to manage stakeholders expectations: this project is designated to mentor undergrads on research practices, and not as a side project a PhD candidate takes on to produce data. So, productivity is at a lower threshold naturally.",83,"I love the idea of discovery hubs as a department-agnostic research mentorship structure. I feel it works best for projects that are more individual-ish, like the humanities and social sciences. For the natural science fields, for example, a lot of the research happens in groups: shared equipment, lab meetings, joint experiments. And as such, not having a centralized department or lab that’s sponsoring this makes it really hard to mentor undergrads since there’s a very loose institutional home for lab work. ","I think it should be offered to students who want it, not to all grad students. Some students see a PhD as a means to an end, as opposed to an opportunity to pursue scholarship that’s exciting, and contribute to the development of the next generation of scientists and thinkers. 

Though, for anyone who wants to go into academia, I think they must have at least one experience mentoring undergrads just because many people who become PIs don’t really know how to mentor, and that’s something that’s not tested greatly during faculty interviews. I think a lot of the faculty interviews focus on the person’s accomplishments as a scientist, and not on their teaching or mentorship philosophy too.","God this one was TOUGH. Our hub was in its first year, and the mentors we were working with were still designing the program themselves, and identifying what undergrads can help with. The applications me and my co mentor submitted weren’t related in the end to the project we did, so honestly I think this was an exercise in how to be nimble and quick, how to be flexible in redefining project scope based on new limitations that arise, and such. ","I realized it’s more important than ever to meet students where they’re at. Not only do I want them to do the project well, but I also now value what they want to do in their careers. If this research experience they did taught them they don’t wanna do this work anymore and would rather switch fields, I would encourage that. They wouldn’t have known this if she’s didn’t do this experience ",I realized I want to continue mentoring undergrads even in the future. I realized I wanna stay in academia… ,Other,Yes but I am graduating off cycle ,3,4,2,5,1,7,6,Year with possibility of extending into summer,4,1,3,2,"Leadership & Team Management,Mentorship & Teaching Skills,Community-Centered Leadership","I loved being part of an inaugural hub, and if the opportunity to improve the experience for future fellows arises, I’d love to assist.",2026_05_16,2025_10_01,,NASA
3,Training materials were decent but I would have really appreciated a more application-focused approach to improving mentorship with active guidance on how I can assess my effectiveness as a mentor and address my shortcomings.,11,"The Discovery Hub provides a framework and accountability for ensuring undergraduates consistently work towards a research goal, while supporting me with resources and guidance to facilitate my mentees development. The recruitment process was extremely productive and frictionless, expediting the opportunities I received to find promising undergraduates who are interested in pursuing research. The Discovery Hub's emphasis on a deliverable is also wonderful, as it gives mentees something tangible to strive towards throughout the research experience and helps keep them motivated. I think more emphasis should be placed on making monthly events mandatory for the mentees. My biggest difficulty working within the confines of the Discovery Hub was change to program communication from email to bCourses. I repeatedly found assignments locked or past due whenever I checked in bCourses, and greatly preferred email communication as an easily accessible way to respond to all reflections and forms. This was particularly frustrating as the assignments were deeply beneficial to my self development.","Yes, I found that delegating tasks and planning research timelines for mentees helped develop my own awareness of the long-term goals of my project in a concrete manner. The ability to sustain multiple lines of inquiry simultaneously through delegation and technical support is an essential skill. As a researcher with high technical proficiency in my field, acting in a directing role stimulated my growth beyond performing my own experiments.","Working in single-molecule research is extremely demanding on your time and attention. The Discovery Hub was my first experience working with undergraduates. I now have a realistic understanding of what is accomplishable for an undergraduate in my field of research. This understanding greatly changed how I view project development in three ways. First, I am more critical about the research question being answered by a proposed experiment. As a graduate student, it is answer to consider an alternative or tangential question within one week of work, but undergraduates do not have such time. Secondly, I now plan training and mentee involvement in a project by determining the fastest way for them to learn data collection and analysis in order to fuel critical hypothesis-driven thinking (instead of the other way around).Third, I am better equipped to assess the feasibility of n undergraduate project during the school year. Instead of answering an entire question, it is much better to completely characterize one condition, understand the scientific impetus, and be able to communicate the intellectual implications of the results. ",Please see the previous answer.,"The Discovery Research Hub has truly opened my eyes to the clarity needed when to train and manage researchers in a productive fashion. I am beginning to understand the complexity and skills necessary to develop a research project, not simply to accomplish individual experiments. The process is thrilling and satisfying and has made me excited to purse academic careers in the near future.",Yes,,1,3,6,2,4,5,7,Year with possibility of extending into summer,2,1,4,3,"Research Design & Grant Writing,Project & Budget Management,Mentorship & Teaching Skills","I found that my undergraduates were not fluent in explaining our research to others, despite having spent a year in my research cluster and even attending a specialized conference. One workshop future Discovery Hub participants would benefit from is for undergraduates specifically: have them talk with their peers in the program about their research! We had such a workshop for the mentors in the Spring, and I believe the undergraduates would benefit even more from doing so. I would encourage making that workshop mandatory for undergraduates and doing it once each semester, the first time to learn how to introduce their research and the second time to learn how to share results/finding/next steps. ",2026_05_16,2025_10_01,,Kavli
4,"Thankfully, I was able to reserve rooms on a case-by-case basis through my department. Without that lifeline, space would have been an issue.",,"(My answer is perhaps not very useful, since my program offers no opportunities for research mentorship.)","Yes -- especially in the humanities, where ""research"" is less often carried out collaboratively, and there is almost no way to gain meaningful experience with the sorts of formal mentorship relationships involved in honors thesis advising or capstone projects. Teaching sections and composition courses alone doesn't prepare a doctoral student in the humanities for this sort of advising, which seriously hampers ABDs competing with more experienced candidates for jobs that require this kind of service on day one! The opportunity to work with advanced students within one's major or related majors feels like an indispensable complement to the pedagogical skills one develops when, e.g., teaching non-majors in a comp course. We all have some experience of trying to win over students who are disinclined or indifferent, but it's been lovely to be asked the kinds of questions that can only be asked by students who are *already* invested.","The research project I proposed was developed specifically with this program in mind, in service of a second book-length project still in its early stages; my group was successful in achieving the goals outlined in the initial proposal, and the results of our research were compelling in and of themselves. That said, I do wish that I came away with more experience developing projects directly related to research already being undertaken.","In just about every way! Knowing what I now know, I would have begun completely differently -- there were so many fascinating questions about the research process that my mentees and I arrived at only in our last few weeks together. Next time, I'd start from these questions, and see where we wind up!",Cf. above,Yes,,1,6,4,2,3,7,5,Year long,4,3,1,2,"Research Design & Grant Writing,Mentorship & Teaching Skills,Communication & Presentation","Having completed two semesters with Berkeley Connect -- the departmental maximum -- the Discovery program would be my only means of participating in undergraduate mentorship during my final year as a doctoral student in the humanities at Cal. This program gave me the chance to continue working with undergraduate students whom I had already mentored more casually through Connect or taught in courses; the pedagogical relationships we were able to build within this framework have undoubtedly been the most rewarding of any I've built as a mentor and instructor.

As a mentor with Berkeley Connect this past fall, working mostly with students who recently transferred from community colleges across CA, many of my mentees were eager for insights into the research process and as much hands-on experience as they could get during their remaining two years at Cal. I drew on my experience with the Discovery program to help them plan thesis proposals, find relevant research opportunities, and explore options for postgrad research. I've kept in touch with many of these students, and would be grateful for the opportunity to work with them in some more formal capacity -- giving them the chance to earn course credit, or financial compensation if LAEP funding permits, while helping them become the scholars that they want to be on this shortened timeline.

For a doctoral candidate in my position, who still has not reached the quota of teaching semesters but faces a dearth of teaching appointments in my own department, continued participation in the Discovery program would help me develop further as a mentor and teacher. I would also be grateful for the chance to put my experience as a mentor, through Discovery as well as Connect, at the disposal of other graduate student mentors in turn -- something I was able to do last fall as the only member of our department's Berkeley Connect team to have served as a mentor the previous year, sharing  materials  and  practical insights with my fellow mentors and the incoming faculty director. If my service as a Pedagogy Mentor to other graduate instructors within my home department has taught me anything, it's that this kind of dialogue is indispensable in refining one's own thinking, enabling one to revisit the most fundamental premises of scholarly and pedagogical practice from new perspectives.",2026_05_16,2025_10_01,,CICI
5,"I felt like I wanted to be able to fund my undergrad's time, which I think would have helped relieve their general academic stress and allowed for us to work more intensively",22,"I like the structure the Kavli Research Hub provided for everyone. It set a timeline (1 year), provided reasonable checkpoints (workshops, symposiums) and resources (academic credit, research funds. ",I think so. I don't feel there is anything particularly special about groups associated with Kavli or not. ,I learned a lot about what it takes to develop a project while training others. It has helped me gain a deeper perspective on the roles of a PI and of a student. ,"My philosophy going in was to train my undergrads in independent research and give them the courage to explore their interests. However, I don't think this approach works for everyone. I felt some of my mentees would have preferred to just be told what to do and leave with more concrete resume items, which is entirely fair at their career development stage. Next time I mentor a student, I think I will start them with the more traditional routine work before emphasizing the value of independence. ","I never really wanted to go into academia, but this experience has enforced my passion for teaching at least. ",Yes,,1,3,5,6,2,4,7,Year with possibility of extending into summer,3,4,1,2,"Research Design & Grant Writing,Mentorship & Teaching Skills,Networking & Professional Growth",,2026_05_16,2025_10_01,,Kavli
6,Funding to pay my students directly and some help around managing budgets. Also teaching them how to track or log their work hours because I didn’t have a good system to do so ,16,I like having another entity to support the actual logistics of student work ,Yes because it’s essential to any future work in research or academia ,,I hope to be more detailed and develop structure from the outset ,,Yes,,2,5,3,1,6,4,7,Year with possibility of extending into summer,4,1,2,3,"Research Design & Grant Writing,Project & Budget Management,Community-Centered Leadership",I would love to have more of a showcase or meet and greet across all the hubs at the beginning of the year to orient us as grad students and our UGs to the resources available through all the hubs ,2026_05_16,2025_10_01,,CICI
7,"Administrative support, training materials, space, funding (research funds to cover expenses related to incorporating undergraduates into research).",0,"My graduate program does not provide any support for mentoring undergraduates so I much prefer the structure of the Discovery Research Hub because it formalizes the mentorship arrangement, provides compensation for the time I dedicate to mentorship, and provides my students with an opportunity to get credit/funding for their work.",Absolutely... I think there are a lot of graduate students who would like to be mentors but can't because they are not supported or provided the proper resources within their programs.,,,,Yes,,1,7,3,2,4,5,6,Year with possibility of extending into summer,3,2,4,1,"Research Design & Grant Writing,Project & Budget Management,Networking & Professional Growth","I would really appreciate if the Discovery Hub could do a better job with communication and integration not just of graduate fellows but also undergraduate researchers. I found that my undergraduate mentees were really separated from the Discovery Hub in general which meant that I was kind of trapped in the middle because they did not have a relationship with the fellowship outside of me. Therefore, I think it would be helpful to have an orientation or workshops that are specifically for undergraduate students so that they can feel more included in the fellowship.",2026_05_16,2025_10_01,,CICI
8,"Space was an issue. My department, anthropology, does not have a lot of space on campus these days, so finding a room meant we had to move around a lot. ",10,,Absolutely. This was an invaluable experience and I feel incredibly more prepared to enter the job market. ,,,,Other,Yes but I also need to focus on my writing. ,1,5,4,2,3,7,6,Year long,2,1,4,3,"Research Design & Grant Writing,Mentorship & Teaching Skills,Communication & Presentation",,2026_05_16,2025_10_01,,CICI
9,"Meeting space would have been great, and department space is tough to reserve ",0,"Discovery allowed me to work with students across the social sciences, but just sociology ","Yes, we learn so much my mentoring and teaching! ",,,,Yes,,3,4,2,1,5,7,6,Year long,2,1,3,4,"Mentorship & Teaching Skills,Communication & Presentation,Networking & Professional Growth",,2026_05_16,2025_10_01,,Sociology
