,ResponseId,ExternalReference,PRIOR,TIME,REWARD_01,REWARD_02,FUTURE,PROFICIENCY_PROJ_01,PROFICIENCY_PROJ_02,PROFICIENCY_PROJ_03,PROFICIENCY_PROJ_04,PROFICIENCY_COMM_01,PROFICIENCY_COMM_02,PROFICIENCY_COMM_03,PROFICIENCY_COMM_04,PROFICIENCY_COMM_05,SUPPORT_01,SUPPORT_02,SUPPORT_03,SUPPORT_04,START,TIME_IN_PROGRAM,END,CLUSTER_SIZE,HUB_01
0,Response ID,External Data Reference,"How much experience do you have in mentoring undergraduate students in
research?","Prior to your participation in this program, how much time, on
average, did you dedicate toward mentorship efforts?","I have found my experiences mentoring undergraduate students in
research to be worthwhile.","Mentoring undergraduate students has been beneficial to my development
as a researcher.","[OPTIONAL] How have your experiences mentoring undergraduates in
research affected your career plans?",Conceptualizing your own research approach or philosophy,Promoting your research,Developing and scoping research plans,Creating and managing budgets,Delegating tasks,Motivating teams,Mentoring others in research,Conflict resolution in research,"Guiding others through questions that lack a single, clear answer",My graduate program has supported my development as a researcher.,"My graduate program has provided me with opportunities to take on
leadership roles.",My graduate program has helped me develop strong leadership skills.,My graduate program has prepared me for the next step in my career.,Earliest Discovery Hubs pre-survey date,Number of semesters in program,,,
1,"{""ImportId"":""_recordId""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""QID3""}","{""ImportId"":""QID10""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID28""}","{""ImportId"":""QID27""}","{""ImportId"":""QID26""}","{""ImportId"":""QID25""}",,,,,
2,R_7QDJIC9DFxb0mA1,REDACTED,3+ semesters,4-8 hrs/wk,Agree,Agree,"It has made me realize I wanted to stay in the academy. Not necessarily as a tenure-track professor with a lab at an R1, but as a research scientist / lecturer / educational design instructor. Initially I didn't want to do industry or academia (I wanted to work in the federal govt) but now I am more amenable to roles where I mentor undergrads and work with improving opportunities for underrepresented folks in STEM",Very Good,Very Good,Very Good,Good,Fair,Good,Very Good,Fair,Very Good,Agree,Agree,Agree,Somewhat Agree,2025_10_01,2.0,2026_05_16,4.0,NASA
3,R_77anc3ywb85xaU4,REDACTED,1-2 semesters,4-8 hrs/wk,Strongly Agree,Strongly Agree,I love mentoring undergraduate research and hope to be able to continue doing so by working at a student- and service-oriented liberal arts college,Excellent,Very Good,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,Excellent,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,2025_10_01,2.0,2026_05_16,5.0,CICI
4,R_6lf8xnyN7MpV1PH,REDACTED,3+ semesters,4-8 hrs/wk,Strongly Agree,Strongly Agree,"It has definitely reinforced the idea that there needs to be better faculty mentors that understand students’ ethnic backgrounds or at least are attentive to it, especially when doing research in the social sciences. As a result, I’ve been inspired to continue pursuing an academic career.",Very Good,Excellent,Fair,Very Good,Excellent,Excellent,Good,Good,Very Good,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,2025_10_01,2.0,2026_05_16,4.0,Sociology
5,R_6edYhSLJJz8ixJa,REDACTED,3+ semesters,0-4 hrs/wk,Strongly Agree,Strongly Agree,My experiences mentoring undergraduates in research have made me realize how much I truly enjoy teaching. It has strengthened my desire to pursue a career that combines research and teaching...,Good,Good,Good,Good,Good,Very Good,Good,Good,Good,Agree,Agree,Somewhat Agree,Somewhat Agree,2025_10_01,2.0,2026_05_16,6.0,CICI
6,R_5utX0zf7l8yj453,REDACTED,3+ semesters,0-4 hrs/wk,Strongly Agree,Agree,"It made me aware of how I could try to build out larger research initiatives as opposed to individual, discrete research projects. My actual career plans have not changed much, since I wanted to be a professor any way, but I've been more considerate of what resources, centers, opportunities, etc. that I want to search for when joining a University. ",Very Good,Good,Very Good,Fair,Fair,Good,Good,Very Good,Good,Agree,Somewhat Disagree,Somewhat Disagree,Agree,2025_10_01,2.0,2026_05_16,2.0,CICI
7,R_5XjoW1o6lktsqVV,REDACTED,1-2 semesters,4-8 hrs/wk,Strongly Agree,Strongly Agree,"Mentoring undergraduates has strengthened my enthusiasm for pursuing a career in academia, as it allows me to cultivate teaching skills, share knowledge, and witness students’ growth firsthand.",Good,Very Good,Good,Poor,Good,Fair,Good,Poor,Very Good,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,2025_10_01,2.0,2026_05_16,3.0,Kavli
8,R_3QrFTm0i8WZBB81,REDACTED,3+ semesters,4-8 hrs/wk,Strongly Agree,Strongly Agree,"My experience, thus far, mentoring undergraduates has solidified the idea that academia is a reasonable path for me.",Very Good,Good,Very Good,Very Good,Good,Fair,Very Good,Very Good,Very Good,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,2025_10_01,,,0.0,Kavli
9,R_3KJTWy5NDoB2hr2,REDACTED,<1 semester,4-8 hrs/wk,Strongly Agree,Strongly Agree,It made me see myself as more of a manager which can certainly open up ideas for my career options.,Good,Excellent,Good,Excellent,Good,Excellent,Good,Fair,Good,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,2025_10_01,2.0,2026_05_16,4.0,NASA
