,START,TIME_IN_PROGRAM,END,CLUSTER_SIZE,HUB_01
0,Earliest Discovery Hubs pre-survey date,Number of semesters in program,,,
1,,,,,
2,2025_10_01,2.0,2026_05_16,4.0,NASA
3,2025_10_01,2.0,2026_05_16,5.0,CICI
4,2025_10_01,2.0,2026_05_16,4.0,Sociology
5,2025_10_01,2.0,2026_05_16,6.0,CICI
6,2025_10_01,2.0,2026_05_16,2.0,CICI
7,2025_10_01,2.0,2026_05_16,3.0,Kavli
8,2025_10_01,,,0.0,Kavli
9,2025_10_01,2.0,2026_05_16,4.0,NASA
10,2025_10_01,2.0,2026_05_16,4.0,Kavli
11,2025_10_01,2.0,2026_05_16,4.0,CICI
12,2025_10_01,2.0,2026_05_16,4.0,CICI
13,2025_10_01,2.0,2026_05_16,3.0,Kavli
14,2025_10_01,,,1.0,Kavli
15,2025_10_01,,,2.0,Sociology
16,2025_10_01,2.0,2026_05_16,4.0,Kavli
17,2025_10_01,2.0,2026_05_16,4.0,Sociology
18,2025_10_01,2.0,2026_05_16,3.0,Kavli
19,2025_10_01,2.0,2026_05_16,6.0,CICI
20,2025_10_01,2.0,2026_05_16,4.0,CICI
21,2025_10_01,2.0,2026_05_16,5.0,CICI
22,2025_10_01,2.0,2026_05_16,4.0,CICI
23,2025_10_01,2.0,2026_05_16,4.0,Sociology
24,2025_10_01,,,3.0,Kavli
25,2025_10_01,2.0,2026_05_16,4.0,CICI
26,2025_10_01,2.0,2026_05_16,5.0,CICI
27,2025_10_01,2.0,2026_05_16,3.0,CICI
28,2025_10_01,2.0,2026_05_16,2.0,Kavli
