,HUB_01,MOTIVATION_01,MOTIVATION_01_8_TEXT,PROFICIENCY_05,PRIOR_01,PRIOR_05,PRIOR_06,PRIOR_06_3_TEXT,PRIOR_07,BELONG_02,MENTOR_06_1,MENTOR_06_2,MENTOR_06_3,MENTOR_06_4,MENTOR_06_5,MENTOR_06_6,MENTOR_07_1,MENTOR_07_2,MENTOR_07_3,MENTOR_07_4,MENTOR_07_5,MENTOR_08,PLANS_01,PLANS_02,PLANS_02_9_TEXT,PLANS_03,INTEREST_01,INTEREST_02,INTEREST_03,INTEREST_04,INTEREST_05,INTEREST_06,TESTIMONIAL,END,TIME_IN_PROGRAM,START,CLUSTER_SIZE
0,Which Discovery Hub are you participating in this term?,"Why do you choose to pursue research? Please select all that apply. -
Selected Choice","Why do you choose to pursue research? Please select all that apply. -
Other - Text",Engaging in research not specific to your major(s).,"Prior to the Discovery Hubs, did you have any previous formal research experience?","What are the main differences between your prior research experiences
and your experiences in the Discovery Hubs?","Before deciding to pursue research through the Discovery Hubs, did you
consider any of the following other avenues for research involvement?
Please select all that apply. - Selected Choice","Before deciding to pursue research through the Discovery Hubs, did you
consider any of the following other avenues for research involvement?
Please select all that apply. - Other - Text","Why did you ultimately choose the Discovery Hubs over other avenues
for research involvement?",I identify as a researcher outside of my major(s).,My mentor is generally available to meet or talk when I need them.,My mentor is an active listener.,My mentor takes a sincere interest in my career.,My mentor acknowledges my contributions.,My mentor is supportive of work-life balance.,My mentor motivates me to improve my work.,My mentor demonstrates professional expertise.,"My mentor is helpful in providing direction and guidance on
professional issues.",My mentor helps me to formulate clear goals.,My mentor facilitates building my professional network.,My mentor provides thoughtful advice on my scholarly work.,"How much time, on average, did you spend speaking with (each of) your mentor(s) per week?","Do you plan to continue the same type of work that you are doing in
the Discovery Hubs?","If you do not plan to participate in similar work to your Discovery
Hub group, do you have plans to participate in any of the following? -
Selected Choice","If you do not plan to participate in similar work to your Discovery
Hub group, do you have plans to participate in any of the following? -
Other - Text","How certain are you about your plans for the future from the previous
question?","Would you be interested in participating in future opportunities with
the Discovery Hubs?","What would make you more likely to participate in future opportunities
with the Discovery Hubs?",What is your preferred length of project?,"Assuming the Discovery Hubs starts in the Fall term, what is the
latest month you would ideally want to be notified of the application
for the opportunity?","Assuming the Discovery Hubs starts in the Fall term, what is the
latest month you would ideally want to receive a final acceptance
offer for the position?","Please let us know any other information that might be relevant about
your interest in participating in future opportunities with the
Discovery Hubs.","Please tell us something that was special about this program, or
personal/academic/professional growth that you experienced as a result
of your participation in the Discovery Research Hub. Please take a
moment to note your thoughts, which are vital to our fundraising
efforts for this program.  For example, testimonials that we share
with donors show where there is impact and need. This helps us secure
resources, funding, and expanded opportunities for undergraduate
researchers in the coming academic terms.  Thank you!",Latest Discovery Hubs pre-survey date,Number of semesters in program,,
1,"{""ImportId"":""QID55""}","{""ImportId"":""QID56""}","{""ImportId"":""QID56_8_TEXT""}","{""ImportId"":""QID86""}","{""ImportId"":""QID21""}","{""ImportId"":""QID57_TEXT""}","{""ImportId"":""QID58""}","{""ImportId"":""QID58_3_TEXT""}","{""ImportId"":""QID59_TEXT""}","{""ImportId"":""QID88""}","{""ImportId"":""QID61""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID75""}","{""ImportId"":""QID77""}","{""ImportId"":""QID78""}","{""ImportId"":""QID78_9_TEXT""}","{""ImportId"":""QID91""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80_TEXT""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83""}","{""ImportId"":""QID85_TEXT""}","{""ImportId"":""QID89_TEXT""}",,,,
2,CICI,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To build mentorship connections",,Very Good,Yes,My prior experiences focused more on digitization while this one was more concerned with research and literary analysis.,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,It sounded like a good opportunity to participate in research outside of my coursework.,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,1-2 hrs/wk,No.,Non-academic/industry research.,,Strongly considering,Yes,A research project concerned with my major.,Semester long,July,August,,"This program was an amazing experience, where I got to delve into research I would have otherwise never known about or considered. ",2026_05_16,2.0,2025_10_01,6.0
3,Molecular Foundry,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To explore career interests,To build mentorship connections,To prepare for graduate school",,Very Good,Yes,"I really appreciated the structure of the CICI group under my mentor Yvonne Lin. I liked how Discovery Hubs allowed me to do an independent research project, while still having structured mentorship. I didn't enjoy my previous research through URAP as much as I because I didn't get to choose the project, since I was just working on a project that my professor assigned to me. ","Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,"I liked the topic of my CICI Discovery Hub cluster more than the URAP listings. I also liked that the Discovery Hub allowed me to do my own research, rather than working for a professor, and that my group was collaborative in discussion.  ",Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,More than 5 hrs/week,No.,Professional practice.,,Position secured or offered accepted,"I would be interested, but I am not eligible due to graduating this semester",,Year long,August,August,,"I really enjoyed my Discovery Hubs experience, as it allowed me to experience the structure of a grad class, receive support from a knowledgeable and caring graduate mentor who graciously provided insights about the hidden curriculum of grad school, and conduct an independent research project, which has helped me discover and refine my research interests. Now, I feel more prepared for grad school, feel more confident in my ability to conduct research, and have begun to see grad school as a more realistic option for me. ",2026_05_16,2.0,2025_10_01,4.0
4,CICI,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To explore career interests,To build mentorship connections,To prepare for graduate school",,Very Good,Yes,"I really appreciated the structure of the CICI group under my mentor Yvonne Lin. I liked how Discovery Hubs allowed me to do an independent research project, while still having structured mentorship. I didn't enjoy my previous research through URAP as much as I because I didn't get to choose the project, since I was just working on a project that my professor assigned to me. ","Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,"I liked the topic of my CICI Discovery Hub cluster more than the URAP listings. I also liked that the Discovery Hub allowed me to do my own research, rather than working for a professor, and that my group was collaborative in discussion.  ",Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,More than 5 hrs/week,No.,Professional practice.,,Position secured or offered accepted,"I would be interested, but I am not eligible due to graduating this semester",,Year long,August,August,,"I really enjoyed my Discovery Hubs experience, as it allowed me to experience the structure of a grad class, receive support from a knowledgeable and caring graduate mentor who graciously provided insights about the hidden curriculum of grad school, and conduct an independent research project, which has helped me discover and refine my research interests. Now, I feel more prepared for grad school, feel more confident in my ability to conduct research, and have begun to see grad school as a more realistic option for me. ",2026_05_16,2.0,2025_10_01,4.0
5,CICI,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Good,Yes,A major difference from my previous research experiences and my experience with the discovery hub is that unlike in my prior research positions through the discovery hub I was able to be financially compensated for my research,"Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,"I selected the discovery hub research position over other research opportunities for several reasons. This included having the opportunity of gaining research experience in an area that aligned with my major and interest, the opportunity for mentorship, and the opportunity to be financially compensated",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,"Yes, in a different group.",,,Exploring options,Yes,If there is an opportunity for my engagement in research to be financially compensated and if research opportunity aligns with my interests,Semester long,June,August,,"Having dedicated mentorship and the opportunity to gain research experience in an area aligned with my major was truly invaluable. For many students, including myself, it was also crucial that the Discovery Hub research positions offered financial compensation. Without that support, I would not have been able to participate in research at all.",2026_05_16,2.0,2025_10_01,3.0
6,CICI,"To make my undergraduate experience complete,To shape knowledge, not just consume it,To prepare for graduate school",,Fair,Yes,The main difference is that we have a final presentation at the end. ,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,Because of the year long process and the consistent mentorship + workshops. ,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,No.,None of the above.,,Strongly considering,Yes,I’m not sure ,Year long,June,August,,,2026_05_16,,,3.0
7,CICI,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To explore career interests",,Poor,Yes,"In this research project I helped develop the code book. We meet in person and there are ""office hours"" to work together in the same room and get extra support with questions. ","Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,The project was the most interesting to me,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,"Yes, in the same group.",,,Position secured or offer accepted,Yes,If I could get paid,Year with possibility of extending into summer,August,August,,"As a part of the Climate Change and Farmworker Justice research project, I am gaining direct insights from farmworkers themselves who have unique and impactful experiences to share. It is necessary to shape policy to rebuild the food system with the people within it at the center - and going straight to the source is important. I have grown as both a researcher and an advocate for farmers rights. ",2025_12_13,1.0,2025_10_01,8.0
8,UCSF Anesthesia and Perioperative Care,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To build mentorship connections",,Excellent,Yes,"Most of my prior research involved wet lab research in the Shapira lab as well as the Banfield lab through SPUR. In this research experience I didn't do as much research, but instead I learned more about the role of a Clinical Research Coordinator a future role I'm interested in working in after graduating. ","Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,I want to be a Clinical Research Coordinator hopefully at UCSF after graduating. So this was the perfect experience for me to be able to get involved in compared to other research avenues. ,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,3-4 hrs/week,"Yes, in the same group.",,,Strongly considering,Yes,"If there was more promotion, easier access, and expansion of these types of opportunities. ",Year with possibility of extending into summer,April,May,,Working at UCSF as a Clinical Research Coordinator taught me more about a career I've been wanting to explore more before graduating and I'm extremely grateful to the Discovery Research Hub at UC Berkeley for providing this opportunity for me to grow and learn.,2025_12_13,1.0,2025_10_01,
9,CICI,"To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Fair,Yes,"i really liked how my experience in the discovery hub program was much more student-driven. instead of just doing labor for other people's projects, i liked how the focus of the program was on developing my own research questions and being able to explore those questions through my paper. i really love how, at the end of the program, i now have my own work product that i've developed, which tangibly demonstrates the work that i've done over the past year, rather than just having random tasks i've done for other people's projects.","Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,"i really liked a lot of the differences i mentioned earlier, such as the opportunity to develop my own project. i also really felt that the projects under discover hubs were much more relevant to my own personal interests, and i really liked the more hands-on mentorship within the program. ",Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,"Yes, in a different group.",,,Exploring options,Yes,interest in the projects that are being offered,Year with possibility of extending into summer,August,August,,"the opportunity to work under the CICI program this year was the most special and exciting thing i've done throughout all of my time at berkeley. i really feel like this program materially changed my outlook on my academic work, as well as my career goals. i don't say this about many things, but i really feel like my time under this program genuinely transformed my life, and is one of the things that makes me extremely glad that i stayed in berkeley for (rather than transferring, which i had been considering for some time last year). ",2026_05_16,2.0,2025_10_01,4.0
10,CICI,To make my undergraduate experience complete,,Very Good,Yes,"In my earlier research experiences, I typically worked within a defined structure. The projects already had established frameworks, research questions, and clear expectations. My role was to contribute to ongoing work, follow existing methodologies, and support goals that had largely been set before I joined.
Discovery Hubs, on the other hand, encouraged a far more exploratory approach. Instead of entering a predetermined project, I was invited to identify questions that genuinely interested me, pursue emerging ideas, and take intellectual risks. The emphasis was not only on producing results, but on curiosity, experimentation, and discovery. This shift made the research feel much more self-directed and creative.",Reaching out directly to a professor,,"I chose the Discovery Hubs because they offered something that traditional research avenues often do not: a space where exploration, creativity, and student-driven inquiry are not only allowed but encouraged. Unlike more formal research programs where projects are predefined and roles are narrowly structured, the Discovery Hubs gave me the freedom to pursue ideas that genuinely interested me and the support to develop them in meaningful ways.",Agree,Strongly Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,More than 5 hrs/week,No.,"Artistic / creative endeavors.,Teaching / education.,Government / nonprofit.",,Actively appREDACTEDg,Yes,The freedom to explore ideas in the Hubs introduced me to topics I might never have encountered through traditional coursework. Pursuing those interests helped me understand what kinds of questions energize me and what environments I thrive in. This has guided me toward more intentional academic choices and helped clarify the types of roles I want to pursue in the future.,Semester long,April,April,,,2025_12_13,,,7.0
11,CICI,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To build mentorship connections,To prepare for graduate school",,Fair,Yes,"The Discovery Hubs research project felt more collaborative, and there were several more opportunities for mentorship and gain insight into what graduate-level work looks like ","Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,I appreciated the direct mentorship aspect and also enjoyed getting to know other undergraduates in different disciplines ,Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,1-2 hrs/wk,No.,Government / nonprofit.,,Position secured or offered accepted,Yes,,Year long,June,August,,"The Discovery Research Hub helped me recognize how essential interdisciplinary research is in shaping a research project. I learned how to work collaboratively with people who have different trainings, and I learned how my own disciplinary perspective brings in new insight. I am glad to have received mentorship from a PhD student who modeled to me what rigorous research practically looks like. ",2026_05_16,2.0,2025_10_01,5.0
12,NASA Biosciences,"To explore career interests,To build mentorship connections,To prepare for graduate school",,Excellent,Yes,Idk man,Reaching out directly to a professor,,Idk man,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,More than 5 hrs/week,"Yes, in the same group.",,,Position secured or offered accepted,Yes,Idk man,Year with possibility of extending into summer,March,August,,N/a,2026_05_16,,,4.0
13,Molecular Foundry,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Good,Yes,"The level of mentorship I received during Discovery Hubs far exceeded my previous research experiences. I was able to have in-depth conversations with my mentor to clearly define the scope of my work, sharpen my understanding of its significance, and understand how it can be applied in the future. I also narrowed my future ambitions for what to pursue in graduate school. This was a sharp contrast to previous projects where I was given very little supervision and came out of the project feeling more isolated and less fulfilled.","Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,I liked my project the most.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,1-2 hrs/wk,"Yes, in the same group.",,,Position secured or offered accepted,Yes,If an opportunity were to open early for previous participants to opt into.,Year long,July,August,,,2026_05_16,1.0,2026_02_28,
14,Molecular Foundry,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Good,Yes,I had a more active role in the research for this experience. ,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,Because the topic interested me,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,More than 5 hrs/week,"Yes, in the same group.",,,Position secured or offered accepted,Yes,,Year with possibility of extending into summer,June,August,,I really appreciated my mentor being open to questions and explaining difficult concepts to me in a welcoming environment ,2026_05_16,1.0,2026_02_28,
