,ResponseId_x,PROFICIENCY_01_pre,PROFICIENCY_02_pre,PROFICIENCY_03_pre,PROFICIENCY_04_pre,PRIOR_01_pre,PRIOR_02_pre,PRIOR_02_17_TEXT_pre,PRIOR_04_pre,BELONG_01_pre,MENTOR_02_pre,MENTOR_03_pre,ACCESS_01_pre,ACCESS_01_7_TEXT_pre,START_pre,TIME_IN_PROGRAM_pre,MENTOR_08_pre,END_pre,CLUSTER_SIZE_pre,HUB_01_pre,ResponseId_y,HUB_01_post,PROFICIENCY_01_post,PROFICIENCY_02_post,PROFICIENCY_03_post,PROFICIENCY_04_post,PRIOR_01_post,PRIOR_02_post,PRIOR_02_17_TEXT_post,PRIOR_04_post,BELONG_01_post,MENTOR_02_post,MENTOR_03_post,MENTOR_08_post,ACCESS_01_post,ACCESS_01_7_TEXT_post,END_post,TIME_IN_PROGRAM_post,START_post,CLUSTER_SIZE_post
0,Response ID,AppREDACTEDg knowledge from your major(s) to a research project/context.,AppREDACTEDg knowledge from your major(s) to real-world situations.,Engaging in research specific to your major(s),Presenting your own research to a general audience,"Prior to this academic term (Fall 2025), did you have any previous formal research experience?","How did you obtain your previous formal research position(s)? Please
select all that apply. - Selected Choice","How did you obtain your previous formal research position(s)? Please
select all that apply. - Other - Text","[OPTIONAL]: Describe the impact of your research experience(s) on your
academic and career goals (e.g., skills gained, new interests, or
change in career path).","Please select your level of agreement or disagreement with the
following statement:    I identify as a researcher in my major(s).",I know how to clarify expectations with my research mentor(s).,I know how to communicate my needs and goals to my research mentor(s).,"Please tell us whether the following factors have prevented your
engagement in research opportunities, prior to your participation in
this program. Please select all that apply. - Selected Choice","Please tell us whether the following factors have prevented your
engagement in research opportunities, prior to your participation in
this program. Please select all that apply. - Other - Text",Earliest Discovery Hubs pre-survey date,Number of semesters in program,,,,,Response ID,Which Discovery Hub are you participating in this term?,AppREDACTEDg knowledge from your major(s) to a research project/context.,AppREDACTEDg knowledge from your major(s) to real-world situations.,Engaging in research specific to your major(s).,Presenting your own research to a general audience.,"Prior to the Discovery Hubs, did you have any previous formal research experience?","How did you obtain your previous formal research position(s)? Please
select all that apply. - Selected Choice","How did you obtain your previous formal research position(s)? Please
select all that apply. - Other - Text","Describe the impact of your research experience in the Discovery Hubs
on your academic and career goals (e.g., skills gained, new interests,
or change in career path).",I identify as a researcher in my major(s).,I know how to clarify expectations with my research mentor(s).,I know how to communicate my needs and goals to my research mentor(s).,"How much time, on average, did you spend speaking with (each of) your mentor(s) per week?","Please tell us whether the following factors have limited your
engagement in research opportunities in the Discovery Hubs. Please
select all that apply. - Selected Choice","Please tell us whether the following factors have limited your
engagement in research opportunities in the Discovery Hubs. Please
select all that apply. - Other - Text",Latest Discovery Hubs pre-survey date,Number of semesters in program,,
1,"{""ImportId"":""_recordId""}","{""ImportId"":""QID27""}","{""ImportId"":""QID54""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID21""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_17_TEXT""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_19_TEXT""}",,,,,,,"{""ImportId"":""_recordId""}","{""ImportId"":""QID55""}","{""ImportId"":""QID27""}","{""ImportId"":""QID54""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID21""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_17_TEXT""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID75""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_7_TEXT""}",,,,
2,R_7avBldSnoALSqEV,Fair,Fair,Poor,Fair,Yes,Other,A professor in my department sent an email asking for undergrads for a research project,It was a brief project (around a month) where the professor let multiple students work on gathering data and  . I loved the project but all the work I did was on the computer. I realized I wanted to be involved in more hands-on research. It helped me start thinking about Biophysics. ,Somewhat Agree,Disagree,Agree,"My academic workload and responsibilities,I applied, but did not secure a position",,2025_10_01,2.0,3-4 hrs/week,2026_05_16,4.0,Kavli ENSI,R_1jYEJ3C1TLy19O0,Kavli ENSI,Good,Good,Very Good,Good,Yes,Other,Filled out a professor's application ,It made me consider biophysics as an avenue ,Agree,Agree,Agree,3-4 hrs/week,My academic workload and responsibilities,,2026_05_16,2.0,2025_10_01,4.0
3,R_7YspWpCKl4vxpaH,Excellent,Excellent,Excellent,Poor,Yes,"Reached out directly to a professor,Friend or acquaintance connected me to a research group,Seminar or conference,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC),Other",Departmental honors program,They have committed me to pursuing a PhD after I complete my undergraduate studies.,Strongly Agree,Somewhat Agree,Somewhat Agree,"My academic workload and responsibilities,Financial concerns (e.g., related expenses, need for paid work left no time for something that feels 'extra') ",,2025_10_01,2.0,1-2 hrs/wk,2026_05_16,4.0,Social Sciences,R_3zkXI9fpdDPenCs,Social Sciences,Excellent,Good,Very Good,Good,Yes,"Reached out directly to a professor,Seminar or conference,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,Skills gained,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,"My academic workload and responsibilities,My job responsibilties and work hours,Financial concerns (e.g., related expenses, need for paid work left no time for something that feels 'extra')",,2026_05_16,2.0,2025_10_01,4.0
4,R_3wvosSRj7IPV5qH,Good,Very Good,Good,Very Good,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC),Other",Summer Fellowship,I have always been curious about what research is like. Gaining lab experience has shaped the way I see research and makes me excited to learn more. ,Agree,Strongly Agree,Strongly Agree,"My academic workload and responsibilities,My job responsibilties and work hours,My family responsibilities/commitments,Financial concerns (e.g., related expenses, need for paid work left no time for something that feels 'extra') ,I did not have the skills I felt I needed to build before I could engage in research,Too few or no positions available in my major,Too few or no positions available for students in my year,I applied, but did not secure a position,I didn't know where to look,I didn't know how to approach or reach out to a lab or researcher to join their project",,2025_10_01,2.0,3-4 hrs/week,2026_05_16,4.0,Kavli ENSI,R_1TV5iB2uAPZdDJ7,Kavli ENSI,Very Good,Very Good,Very Good,Very Good,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,"My experience in the Discovery Hubs strengthened my confidence as a researcher and helped me develop valuable technical, communication, and collaboration skills. It also reinforced my interest in pursuing research-related opportunities in materials science and showed me how impactful interdisciplinary research can be.",Strongly Agree,Agree,Agree,3-4 hrs/week,"My academic workload and responsibilities,My job responsibilties and work hours,My family responsibilities/commitments",,2026_05_16,2.0,2025_10_01,4.0
5,R_3lStYEWNgZNfyKE,Very Good,Good,Very Good,Very Good,Yes,Other,Applied online to summer research opportunities at other universities.,I have gained a lot of transferrable wet lab skills and proficiency in reading scientific literature. Research has strengthened by desire to pursue a doctorate in graduate school.,Agree,Agree,Agree,"My academic workload and responsibilities,I did not have the skills I felt I needed to build before I could engage in research,I applied, but did not secure a position",,2026_02_28,1.0,1-2 hrs/wk,2026_05_16,,Molecular Foundry,R_3eLbZMACvnntlJT,Molecular Foundry,Very Good,Good,Good,Very Good,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC),Other","Applied online to summer research opportunities at other universities (Purdue SURF, UIC Pediatrics Summer Scholars Fellowship).","Honing career path, more passion for scientific communication (poster/slide-making, presenting)",Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,My academic workload and responsibilities,,2026_05_16,1.0,2026_02_28,
6,R_3c9VfHAs1BEYtVf,Very Good,Very Good,Very Good,Good,Yes,Other,Summer research program for advanced high school students,I am deciding whether I want to enter the industry after graduation or pursue graduate studies. Research experiences like this one will help me make a decision for my future plans as well as gaining relevant skills applicable to both industry and laboratory contexts.,Agree,Agree,Agree,Too few or no positions available for students in my year,,2025_10_01,2.0,"More than zero, but less than one hour per week",2026_05_16,3.0,Kavli ENSI,R_1pYU6sXQm3ffw82,Kavli ENSI,Good,Very Good,Very Good,Good,Yes,Other,,I was able to explore the physics-adjacent side of materials science in more depth.,Agree,Agree,Agree,"More than zero, but less than one hour per week",My academic workload and responsibilities,,2026_05_16,2.0,2025_10_01,3.0
7,R_7YgFKpyFzAgR8dP,Excellent,Excellent,Excellent,Good,Yes,Friend or acquaintance connected me to a research group,,"My research experiences at MIT and Columbia University have shaped my academic and career goals in AI and computational science. At MIT, I worked on decentralized AI agents, gaining experience with multi-agent systems, distributed learning, and large language models while learning to approach research with both technical depth and creativity. At Columbia, I developed a spatiotemporal crash risk prediction model using traffic, weather, and geospatial data, strengthening my skills in PyTorch, feature engineering, and model interpretation. Together, these experiences inspired my interest in appREDACTEDg machine learning to complex, real-world systems and pursuing research that bridges AI, systems engineering, and scientific discovery.",Somewhat Agree,Strongly Agree,Strongly Agree,"My academic workload and responsibilities,Too few or no positions available in my major,Too few or no positions available for students in my year",,2025_10_01,2.0,3-4 hrs/week,2026_05_16,5.0,NASA Biosciences,R_10lag69duPVY7jJ,NASA Biosciences,Very Good,Very Good,Very Good,Good,No,,,"Lots of work, lots of skills gained.",Agree,Agree,Agree,3-4 hrs/week,"My academic workload and responsibilities,My family responsibilities/commitments,Financial concerns (e.g., related expenses, need for paid work left no time for something that feels 'extra')",,2026_05_16,2.0,2025_10_01,5.0
8,R_6ESbCVAK8UCKQhn,Good,Good,Very Good,Very Good,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,,Agree,Agree,Agree,"My academic workload and responsibilities,My job responsibilties and work hours,Too few or no positions available in my major",,2025_10_01,2.0,1-2 hrs/wk,2026_05_16,6.0,CICI,R_18UqsIoQ7JCDc4m,CICI,Fair,Good,Fair,Very Good,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,Discovery Hubs helped me gain skills in literary analysis and map-building skills. I am also more interested in the Italian literary field following my involvement.,Agree,Agree,Agree,1-2 hrs/wk,"My academic workload and responsibilities,Financial concerns (e.g., related expenses, need for paid work left no time for something that feels 'extra')",,2026_05_16,2.0,2025_10_01,6.0
9,R_66uJMMYjFoWLcit,Good,Fair,Good,Very Good,Yes,"Participated in this program in a previous academic term,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,,Strongly Agree,Somewhat Agree,Agree,"My academic workload and responsibilities,My job responsibilties and work hours,Financial concerns (e.g., related expenses, need for paid work left no time for something that feels 'extra') ,Too few or no positions available in my major",,2025_10_01,1.0,1-2 hrs/wk,2025_12_13,,Molecular Foundry,R_3ueO9Oyf00QD1Jv,Molecular Foundry,Good,Good,Good,Good,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC),Other",,"I was trained on the scanning electron microscope this semester, which is a great new tool for my future research endeavors. This discovery program allowed me to continue practicing my research skills and continue forward on my research project.",Agree,Agree,Agree,1-2 hrs/wk,"My academic workload and responsibilities,Transportation to/from research site (cost or time)",,2025_12_13,1.0,2025_10_01,
